word,label
Contemporary,STYLE
Minimalist,STYLE
Bohemian,STYLE
Romantic,STYLE
Edgy,STYLE
Avant-garde,STYLE
Urban,STYLE
Streetwear,STYLE
Preppy,STYLE
Sporty,STYLE
Casual,STYLE
Formal,STYLE
Elegant,STYLE
Sophisticated,STYLE
Glamorous,STYLE
Chic,STYLE
Eclectic,STYLE
Artistic,STYLE
Ethereal,STYLE
Whimsical,STYLE
Dramatic,STYLE
Punk,STYLE
Grunge,STYLE
Gothic,STYLE
Victorian,STYLE
Baroque,STYLE
Renaissance,STYLE
Folk,STYLE
Tribal,STYLE
Nautical,STYLE
Military,STYLE
Safari,STYLE
Boho-chic,STYLE
Hipster,STYLE
Nomadic,STYLE
Tropical,STYLE
Desert,STYLE
Nordic,STYLE
Japanese,STYLE
Indian,STYLE
African,STYLE
Western,STYLE
Rockabilly,STYLE
Steampunk,STYLE
Cyberpunk,STYLE
Futuristic,STYLE
Rustic,STYLE
Country,STYLE
Cottagecore,STYLE
Shabby Chic,STYLE
Industrial,STYLE
Scandinavian,STYLE
Mid-century Modern,STYLE
Art Deco,STYLE
Art Nouveau,STYLE
Bauhaus,STYLE
Retro-futurism,STYLE
Postmodern,STYLE
Surreal,STYLE
Dandy,STYLE
Dapper,STYLE
Flamboyant,STYLE
Eccentric,STYLE
Quirky,STYLE
Offbeat,STYLE
Experimental,STYLE
Nomadic,STYLE
Wanderlust,STYLE
Boho-glam,STYLE
Boho-luxe,STYLE
Boho-rock,STYLE
High-fashion,STYLE
Avant-pop,STYLE
Street-chic,STYLE
Skate,STYLE
Surfer,STYLE
Vintage-inspired,STYLE
Eco-friendly,STYLE
Sustainable,STYLE
Upcycled,STYLE
Artisanal,STYLE
Handcrafted,STYLE
Folklore,STYLE
Mythical,STYLE
Fantasy,STYLE
Sci-fi,STYLE
Cybergoth,STYLE
Steampunk,STYLE
Victorian Gothic,STYLE
Urban Cowboy,STYLE
Urban Nomad,STYLE
Industrial Chic,STYLE
Retro-chic,STYLE
Artistic,STYLE
Nouveau Riche,STYLE
Gamine,STYLE
Lolita,STYLE
Art-deco,STYLE
Plaid,STYLE
Houndstooth,STYLE
Chevron,STYLE
Tartan,STYLE
Gingham,FEATURE
Paisley,FEATURE
Damask,FEATURE
Brocade,FEATURE
Checkered,FEATURE
Geometric,FEATURE
Abstract,FEATURE
Animal print,FEATURE
Camouflage,FEATURE
Toile,FEATURE
Ikat,FEATURE
Batik,FEATURE
Seersucker,FEATURE
Lace,FEATURE
Embroidered,FEATURE
Quilted,FEATURE
Marbled,FEATURE
Tie-dye,FEATURE
Shibori,FEATURE
Ombre,FEATURE
Chevron,FEATURE
Striped,FEATURE
Floral,FEATURE
Paisley,FEATURE
Herringbone,FEATURE
Flecked,FEATURE
Tweed,FEATURE
Knitted,FEATURE
Crocheted,FEATURE
Striated,FEATURE
Crosshatched,FEATURE
Woven,FEATURE
Ruched,FEATURE
Ruffled,FEATURE
Fringed,FEATURE
