,word,label
493,art nouveau,STYLE
494,bauhaus,STYLE
495,retro-futurism,STYLE
496,postmodern,STYLE
497,surreal,STYLE
498,dandy,STYLE
499,dapper,STYLE
500,flamboyant,STYLE
501,eccentric,STYLE
502,quirky,STYLE
503,offbeat,STYLE
504,experimental,STYLE
506,wanderlust,STYLE
507,boho-glam,STYLE
508,boho-luxe,STYLE
509,boho-rock,STYLE
510,high-fashion,STYLE
511,avant-pop,STYLE
512,street-chic,STYLE
513,skate,STYLE
514,surfer,STYLE
515,vintage-inspired,STYLE
516,eco-friendly,STYLE
517,sustainable,STYLE
518,upcycled,STYLE
519,artisanal,STYLE
520,handcrafted,STYLE
521,folklore,STYLE
522,mythical,STYLE
523,fantasy,STYLE
524,sci-fi,STYLE
525,cybergoth,STYLE
527,victorian gothic,STYLE
528,urban cowboy,STYLE
529,urban nomad,STYLE
530,industrial chic,STYLE
531,retro-chic,STYLE
533,nouveau riche,STYLE
534,gamine,STYLE
535,lolita,STYLE
536,art-deco,STYLE
539,chevron,STYLE
540,tartan,STYLE
542,paisley,FEATURE
547,abstract,FEATURE
548,animal print,FEATURE
549,camouflage,FEATURE
550,toile,FEATURE
551,ikat,FEATURE
556,quilted,FEATURE
557,marbled,FEATURE
558,tie-dye,FEATURE
559,shibori,FEATURE
560,ombre,FEATURE
566,flecked,FEATURE
568,knitted,FEATURE
569,crocheted,FEATURE
570,striated,FEATURE
571,crosshatched,FEATURE
573,ruched,FEATURE
582,aquamarin,COLOR
583,asparagu,COLOR
585,azur,COLOR
586,beig,COLOR
587,bistr,COLOR
592,bondi,COLOR
594,bronz,COLOR
597,burgundi,COLOR
598,camouflag,COLOR
599,caput,COLOR
600,cardin,COLOR
601,carmin,COLOR
602,carrot,COLOR
604,ceris,COLOR
606,champagn,COLOR
608,chartreus,COLOR
609,cherri,COLOR
611,chocol,COLOR
618,cornflow,COLOR
625,falu,COLOR
626,fern,COLOR
629,forest,COLOR
630,french,COLOR
632,gambog,COLOR
636,grei,COLOR
637,han,COLOR
639,heliotrop,COLOR
640,hollywood,COLOR
642,ivori,COLOR
644,kelli,COLOR
646,lavend,COLOR
654,mauv,COLOR
655,midnight,COLOR
656,mint,COLOR
657,misti,COLOR
658,moss,COLOR
660,myrtl,COLOR
661,navajo,COLOR
662,navi,COLOR
663,ochr,COLOR
664,offic,COLOR
665,oliv,COLOR
666,olivin,COLOR
667,orang,COLOR
669,papaya,COLOR
672,periwinkl,COLOR
674,pine,COLOR
678,powder,COLOR
680,prussian,COLOR
681,psychedel,COLOR
683,purpl,COLOR
684,quartz,COLOR
685,raw,COLOR
688,robin,COLOR
690,royal,COLOR
692,rubi,COLOR
697,sandi,COLOR
699,sapphir,COLOR
701,school,COLOR
702,sea,COLOR
703,seashel,COLOR
705,shamrock,COLOR
707,sky,COLOR
708,slate,COLOR
710,steel,COLOR
712,tangerin,COLOR
713,taup,COLOR
715,tawni,COLOR
717,thistl,COLOR
718,titanium,COLOR
719,turquois,COLOR
721,ultramarin,COLOR
722,van,COLOR
736,polyest,MATERIAL
744,cashmer,MATERIAL
746,tull,MATERIAL
748,corduroi,MATERIAL
749,fleec,MATERIAL
750,brocad,MATERIAL
757,georgett,MATERIAL
759,seersuck,MATERIAL
760,canva,MATERIAL
762,sued,MATERIAL
763,voil,MATERIAL
764,batist,MATERIAL
765,chambrai,MATERIAL
766,herringbon,MATERIAL
770,boucl,MATERIAL
772,madra,MATERIAL
773,moir,MATERIAL
776,brocatel,MATERIAL
778,jersei,MATERIAL
779,terri,MATERIAL
780,ultrasued,MATERIAL
781,piqu,MATERIAL
782,broderi,MATERIAL
783,gabardin,MATERIAL
793,faux,MATERIAL
798,neopren,MATERIAL
800,chenil,MATERIAL
801,faill,MATERIAL
802,laci,MATERIAL
807,percal,MATERIAL
808,rami,MATERIAL
818,linsei,MATERIAL
819,crinolin,MATERIAL
822,tussah,MATERIAL
823,chantilli,MATERIAL
824,gauz,MATERIAL
832,loos,MATERIAL
833,flowi,FEATURE
834,structur,FEATURE
835,fit,FEATURE
836,relax,FEATURE
837,drape,FEATURE
838,tailor,FEATURE
839,crop,FEATURE
842,pinstrip,FEATURE
845,puffi,FEATURE
846,pad,FEATURE
848,opaqu,FEATURE
849,transpar,FEATURE
852,stretchi,FEATURE
853,non,FEATURE
854,shini,FEATURE
855,matt,FEATURE
856,sparkli,FEATURE
857,glitteri,FEATURE
858,metal,FEATURE
859,embellish,FEATURE
860,bead,FEATURE
861,sequin,FEATURE
862,print,FEATURE
863,pattern,FEATURE
865,stripe,FEATURE
868,geometr,FEATURE
870,checker,FEATURE
871,textur,FEATURE
873,rib,FEATURE
875,embroid,FEATURE
876,appliqu,FEATURE
877,ruffl,FEATURE
878,fring,FEATURE
879,layer,FEATURE
880,pleat,FEATURE
881,gather,FEATURE
883,flare,FEATURE
884,line,FEATURE
886,empir,FEATURE
889,high,FEATURE
890,low,FEATURE
891,belt,FEATURE
892,button,FEATURE
893,zip,FEATURE
897,shoulder,FEATURE
901,collar,FEATURE
903,scoop,FEATURE
904,neck,FEATURE
905,boat,FEATURE
906,cowl,FEATURE
907,mock,FEATURE
909,peter,FEATURE
911,notch,FEATURE
920,flounc,FEATURE
921,tier,FEATURE
922,cuf,FEATURE
923,taper,FEATURE
925,straight,FEATURE
926,skinni,FEATURE
929,wide,FEATURE
930,culotte,FEATURE
931,culott,FEATURE
932,sleeve,FEATURE
933,sleev,FEATURE
938,blous,GARMENT_TYPE
939,tank,GARMENT_TYPE
940,polo,GARMENT_TYPE
943,hoodi,GARMENT_TYPE
944,pullov,GARMENT_TYPE
950,cocktail,FEATURE
951,even,FEATURE
952,ball,GARMENT_TYPE
960,pencil,GARMENT_TYPE
962,circl,GARMENT_TYPE
970,trouser,GARMENT_TYPE
972,jean,GARMENT_TYPE
974,jogger,GARMENT_TYPE
976,legging,GARMENT_TYPE
977,leg,GARMENT_TYPE
978,capri,GARMENT_TYPE
981,jeg,GARMENT_TYPE
990,windbreak,GARMENT_TYPE
999,lingeri,GARMENT_TYPE
1001,panty,GARMENT_TYPE
1002,panti,GARMENT_TYPE
1003,brief,GARMENT_TYPE
1005,thong,GARMENT_TYPE
1007,boyshort,GARMENT_TYPE
1008,camisol,GARMENT_TYPE
1009,chemis,GARMENT_TYPE
1011,pajama,GARMENT_TYPE
1013,sock,GARMENT_TYPE
1015,stocking,GARMENT_TYPE
1016,stock,GARMENT_TYPE
1018,legwarm,GARMENT_TYPE
1021,bodic,GARMENT_TYPE
1022,girdl,GARMENT_TYPE
1025,bikini,GARMENT_TYPE
1028,vintag,STYLE
1031,contemporari,STYLE
1034,romant,STYLE
1035,edgi,STYLE
1036,avant,STYLE
1039,preppi,STYLE
1040,sporti,STYLE
1043,eleg,STYLE
1044,sophist,STYLE
1045,glamor,STYLE
1047,eclect,STYLE
1048,artist,STYLE
1049,ether,STYLE
1050,whimsic,STYLE
1051,dramat,STYLE
1053,grung,STYLE
1056,baroqu,STYLE
1057,renaiss,STYLE
1060,nautic,STYLE
1061,militari,STYLE
1063,boho,STYLE
1065,nomad,STYLE
1066,tropic,STYLE
1069,japanes,STYLE
1073,rockabilli,STYLE
1076,futurist,STYLE
1078,countri,STYLE
1079,cottagecor,STYLE
1080,shabbi,STYLE
1081,industri,STYLE
1083,mid,STYLE
1084,art,STYLE
1086,bauhau,STYLE
1090,dandi,STYLE
1092,flamboy,STYLE
1093,eccentr,STYLE
1094,quirki,STYLE
1096,experiment,STYLE
1104,street,STYLE
1108,eco,STYLE
1109,sustain,STYLE
1110,upcycl,STYLE
1111,artisan,STYLE
1112,handcraft,STYLE
1113,folklor,STYLE
1114,mythic,STYLE
1115,fantasi,STYLE
1116,sci,STYLE
1125,nouveau,STYLE
1126,gamin,STYLE
1134,paislei,FEATURE
1140,anim,FEATURE
1142,toil,FEATURE
1148,quilt,FEATURE
1149,marbl,FEATURE
1150,tie,FEATURE
1152,ombr,FEATURE
1158,fleck,FEATURE
1160,knit,FEATURE
1161,crochet,FEATURE
1162,striat,FEATURE
1163,crosshatch,FEATURE
1165,ruch,FEATURE
